name;address;phoneNumber;point
Euro Garage Phnom Penh;"St. Lum, Orkide Village, Obek Ka Oum Comminune Senkso, Phnom Penh";0962888011;POINT (104.88456050184753 11.550491921821425)
Vann Sokchea Auto Garage;"38E0, St. 566, Khan Toul Kork, Phnom Penh";077588599;POINT (104.90027628650608 11.577300320130083)
HN Auto Garage;"St. 202, Khan Daun Pehn, Phnom Penh";010549966;POINT (104.89496423253047 11.560140123652637)
E-garage;"No 289, St. Yothapol Khemarak Phoumin, Phnom Penh";023881933;POINT (104.89258739999998 11.549899006426237)
"UK Auto Garage Co., Ltd";"No. 10, St. 608, Phnom Penh";012678679;POINT (104.89438103566455 11.572160427413024)
Narin Car Garage;"No 55, St. Batong, Corner of Street 257 and 210, Russey Keo, Phnom Penh";017889905;POINT (104.89636025582315 11.559067134315606)
BM Auto Garage;"St. 590, Phnom Penh";012876464;POINT (104.89694832780066 11.577267066915894)
Car Garage;"No 864, St. Preysor, Khan Dongkor, Phnom Penh";010549966;POINT (104.88787594892632 11.582000356360401)
Senova Garage;"No 206, national 6, Khan Chroy Chanvar, Phreak Leap, Phnom Penh";012224415;POINT (104.92748495397565 11.617190343824028)
Vannara Garage;"St. 118, Sangkat Tuek La Ok 1, Khan Toul Kok";012806242;POINT (11.570237093012143 104.89976024546336)
BS Garage;"No 395, St. Lum, Tagnoun Village, Sangkat Kakab, Khan PorsenChey, Phnom Penh";012473701;POINT (104.9007026 11.572992101977443)
Lay Kim Garage;"No 200, St. 123, Sangkat Teok Laok II, Khan Toul Kok, Phnom Penh";012993769;POINT (104.89539853253048 11.56426820967598)
Hang Sey Ha;"St. 03, Phnom Penh";016339122;POINT (104.90623587245116 11.588145337809165)
4 Stroke Garage;"St. 610, Sangkat Beong Kok II, Khan Toul Kok, Phnom Penh";0967777905;POINT (104.90123347485974 11.576398341369593)
ST Auto Garage;"No. 192, St. 72P, Phnom Penh";070917971;POINT (11.575818279805326 104.863193671658)
Master Clean Car Wash;"St. K5, Phnom Penh";015555773;POINT (104.90710738409751 11.586514105678548)
KC Garage;"No 15, National Road No. 6, Sangkat Preak Leap, Khan Chroy Changva, Phnom Penh";015235567;POINT (104.90146029389629 11.534127311861749)
Naroeun Auto Garage;"No 9E0, St. 372, Sangkat Beong Salang, Khan Tulkok, Phnom Penh";092380047;POINT (104.89863030369511 11.552224762766816)
Happy Auto Garage;"Khan Chbar Ampov, Phnom Penh";069655595;POINT (104.94191643622557 11.528560266776303)
EMC Garage;"St. Mongrithy, Khan Sen Sok, Phnom Penh";095599774;POINT (104.88554087699767 11.591247083660177)
Z1 Auto Center;"282 Le Thi Rieng, Thoi An, District 12, Ho Chi Minh city";0984196246;POINT (106.65663482822846 10.874883806399088)
CCMFast;"291 QL22, Tan Thong Hoi, Cu Chi, Ho Chi Minh city";0396300888;POINT (10.961412586039785 106.51054229195857)
Garage Gia Dinh;"339/10 Phan Van Hon, Tan Thoi Nhat, District 12, Ho Chi Minh city";0978023587;POINT (106.60962094234631 10.839264514082483)
Garage Trinh Phuc;"5 Street no. 18, Binh Hung Hoa A, Binh Tan, Ho Chi Minh city";0902889358;POINT (106.6063242281587 10.79615476762051)
Garage Tan Cong;"223 Hoa Binh, Hiep Tan, Tan Phu, Ho Chi Minh city";0936838311;POINT (106.62863906450423 10.785309900626286)
;;;
